,Text,Probability
256,"After waiting three hours, Cal whined and started to complain",0.11
257,"After waiting three hours, Cal whined and started to leave",0.08
258,"After waiting three hours, Cal whined and started to leave",0.08
259,"After waiting three hours, Cal whined and started to leave",0.08
260,"After waiting three hours, Cal whined and started to leave",0.08
261,"After waiting three hours, Cal whined and started to leave",0.08
262,"After waiting three hours, Cal whined and started to squirm",0.05
263,"After waiting three hours, Cal whined and started to squirm",0.05
264,"After waiting three hours, Cal whined and started to squirm",0.05
265,"After waiting three hours, Cal whined and started to pout",0.05
266,"After waiting three hours, Cal whined and started to pout",0.05
267,"After waiting three hours, Cal whined and started to pout",0.05
268,"After waiting three hours, Cal whined and started to fidget",0.04
269,"After waiting three hours, Cal whined and started to fidget",0.04
270,"After waiting three hours, Cal whined and started to yell",0.04
271,"After waiting three hours, Cal whined and started to yell",0.04
272,"After waiting three hours, Cal whined and started to pace",0.03
273,"After waiting three hours, Cal whined and started to pace",0.03
274,"After waiting three hours, Cal whined and started to argue",0.02
275,"While watching the funny movie, Kim was overcome with laughter",0.68
276,"While watching the funny movie, Kim was overcome with laughter",0.68
277,"While watching the funny movie, Kim was overcome with laughter",0.68
278,"While watching the funny movie, Kim was overcome with laughter",0.68
279,"While watching the funny movie, Kim was overcome with laughter",0.68
280,"While watching the funny movie, Kim was overcome with laughter",0.68
281,"While watching the funny movie, Kim was overcome with laughter",0.68
282,"While watching the funny movie, Kim was overcome with laughter",0.68
283,"While watching the funny movie, Kim was overcome with laughter",0.68
284,"While watching the funny movie, Kim was overcome with laughter",0.68
285,"While watching the funny movie, Kim was overcome with laughter",0.68
286,"While watching the funny movie, Kim was overcome with laughter",0.68
287,"While watching the funny movie, Kim was overcome with laughter",0.68
288,"While watching the funny movie, Kim was overcome with laughter",0.68
289,"While watching the funny movie, Kim was overcome with laughter",0.68
290,"While watching the funny movie, Kim was overcome with laughter",0.68
291,"While watching the funny movie, Kim was overcome with laughter",0.68
292,"While watching the funny movie, Kim was overcome with laughter",0.68
293,"While watching the funny movie, Kim was overcome with laughter",0.68
294,"While watching the funny movie, Kim was overcome with laughter",0.68
295,"While watching the funny movie, Kim was overcome with laughter",0.68
296,"While watching the funny movie, Kim was overcome with laughter",0.68
297,"While watching the funny movie, Kim was overcome with laughter",0.68
298,"While watching the funny movie, Kim was overcome with laughter",0.68
299,"While watching the funny movie, Kim was overcome with laughter",0.68
300,"While watching the funny movie, Kim was overcome with laughter",0.68
301,"While watching the funny movie, Kim was overcome with laughter",0.68
302,"While watching the funny movie, Kim was overcome with laughter",0.68
303,"While watching the funny movie, Kim was overcome with laughter",0.68
304,"While watching the funny movie, Kim was overcome with laughter",0.68
305,"While watching the funny movie, Kim was overcome with laughter",0.68
306,"While watching the funny movie, Kim was overcome with laughter",0.68
307,"While watching the funny movie, Kim was overcome with laughter",0.68
308,"While watching the funny movie, Kim was overcome with laughter",0.68
309,"While watching the funny movie, Kim was overcome with laughter",0.68
310,"While watching the funny movie, Kim was overcome with laughter",0.68
311,"While watching the funny movie, Kim was overcome with laughter",0.68
312,"While watching the funny movie, Kim was overcome with laughter",0.68
313,"While watching the funny movie, Kim was overcome with laughter",0.68
314,"While watching the funny movie, Kim was overcome with laughter",0.68
315,"While watching the funny movie, Kim was overcome with laughter",0.68
316,"While watching the funny movie, Kim was overcome with laughter",0.68
317,"While watching the funny movie, Kim was overcome with laughter",0.68
318,"While watching the funny movie, Kim was overcome with laughter",0.68
319,"While watching the funny movie, Kim was overcome with laughter",0.68
320,"While watching the funny movie, Kim was overcome with laughter",0.68
321,"While watching the funny movie, Kim was overcome with joy",0.18
322,"While watching the funny movie, Kim was overcome with joy",0.18
323,"While watching the funny movie, Kim was overcome with joy",0.18
324,"While watching the funny movie, Kim was overcome with joy",0.18
325,"While watching the funny movie, Kim was overcome with joy",0.18
326,"While watching the funny movie, Kim was overcome with joy",0.18
327,"While watching the funny movie, Kim was overcome with joy",0.18
328,"While watching the funny movie, Kim was overcome with joy",0.18
329,"While watching the funny movie, Kim was overcome with joy",0.18
330,"While watching the funny movie, Kim was overcome with joy",0.18
331,"While watching the funny movie, Kim was overcome with joy",0.18
332,"While watching the funny movie, Kim was overcome with joy",0.18
333,"While watching the funny movie, Kim was overcome with emotion",0.08
334,"While watching the funny movie, Kim was overcome with emotion",0.08
335,"While watching the funny movie, Kim was overcome with emotion",0.08
336,"While watching the funny movie, Kim was overcome with emotion",0.08
337,"While watching the funny movie, Kim was overcome with emotion",0.08
338,"Hearing noises from above, the confused man inspected the attic",0.32
339,"Hearing noises from above, the confused man inspected the attic",0.32
340,"Hearing noises from above, the confused man inspected the attic",0.32
341,"Hearing noises from above, the confused man inspected the attic",0.32
342,"Hearing noises from above, the confused man inspected the attic",0.32
343,"Hearing noises from above, the confused man inspected the attic",0.32
344,"Hearing noises from above, the confused man inspected the attic",0.32
345,"Hearing noises from above, the confused man inspected the attic",0.32
346,"Hearing noises from above, the confused man inspected the attic",0.32
347,"Hearing noises from above, the confused man inspected the attic",0.32
348,"Hearing noises from above, the confused man inspected the attic",0.32
349,"Hearing noises from above, the confused man inspected the attic",0.32
350,"Hearing noises from above, the confused man inspected the attic",0.32
351,"Hearing noises from above, the confused man inspected the attic",0.32
352,"Hearing noises from above, the confused man inspected the attic",0.32
353,"Hearing noises from above, the confused man inspected the attic",0.32
354,"Hearing noises from above, the confused man inspected the attic",0.32
355,"Hearing noises from above, the confused man inspected the attic",0.32
356,"Hearing noises from above, the confused man inspected the attic",0.32
357,"Hearing noises from above, the confused man inspected the attic",0.32
358,"Hearing noises from above, the confused man inspected the attic",0.32
359,"Hearing noises from above, the confused man inspected the ceiling",0.24
360,"Hearing noises from above, the confused man inspected the ceiling",0.24
361,"Hearing noises from above, the confused man inspected the ceiling",0.24
362,"Hearing noises from above, the confused man inspected the ceiling",0.24
363,"Hearing noises from above, the confused man inspected the ceiling",0.24
364,"Hearing noises from above, the confused man inspected the ceiling",0.24
365,"Hearing noises from above, the confused man inspected the ceiling",0.24
366,"Hearing noises from above, the confused man inspected the ceiling",0.24
367,"Hearing noises from above, the confused man inspected the ceiling",0.24
368,"Hearing noises from above, the confused man inspected the ceiling",0.24
369,"Hearing noises from above, the confused man inspected the ceiling",0.24
370,"Hearing noises from above, the confused man inspected the ceiling",0.24
371,"Hearing noises from above, the confused man inspected the ceiling",0.24
372,"Hearing noises from above, the confused man inspected the ceiling",0.24
373,"Hearing noises from above, the confused man inspected the ceiling",0.24
374,"Hearing noises from above, the confused man inspected the ceiling",0.24
375,"Hearing noises from above, the confused man inspected the roof",0.16
376,"Hearing noises from above, the confused man inspected the roof",0.16
377,"Hearing noises from above, the confused man inspected the roof",0.16
378,"Hearing noises from above, the confused man inspected the roof",0.16
379,"Hearing noises from above, the confused man inspected the roof",0.16
380,"Hearing noises from above, the confused man inspected the roof",0.16
381,"Hearing noises from above, the confused man inspected the roof",0.16
382,"Hearing noises from above, the confused man inspected the roof",0.16
383,"Hearing noises from above, the confused man inspected the roof",0.16
384,"Hearing noises from above, the confused man inspected the roof",0.16
385,"Hearing noises from above, the confused man inspected the sky",0.09
386,"Hearing noises from above, the confused man inspected the sky",0.09
387,"Hearing noises from above, the confused man inspected the sky",0.09
388,"Hearing noises from above, the confused man inspected the sky",0.09
389,"Hearing noises from above, the confused man inspected the sky",0.09
390,"Hearing noises from above, the confused man inspected the sky",0.09
391,"Hearing noises from above, the confused man inspected the door",0.02
392,The restaurants on the west end were very expensive,0.44
393,The restaurants on the west end were very expensive,0.44
394,The restaurants on the west end were very expensive,0.44
395,The restaurants on the west end were very expensive,0.44
396,The restaurants on the west end were very expensive,0.44
397,The restaurants on the west end were very expensive,0.44
398,The restaurants on the west end were very expensive,0.44
399,The restaurants on the west end were very expensive,0.44
400,The restaurants on the west end were very expensive,0.44
401,The restaurants on the west end were very expensive,0.44
402,The restaurants on the west end were very expensive,0.44
403,The restaurants on the west end were very expensive,0.44
404,The restaurants on the west end were very expensive,0.44
405,The restaurants on the west end were very expensive,0.44
406,The restaurants on the west end were very expensive,0.44
407,The restaurants on the west end were very expensive,0.44
408,The restaurants on the west end were very expensive,0.44
409,The restaurants on the west end were very expensive,0.44
410,The restaurants on the west end were very expensive,0.44
411,The restaurants on the west end were very expensive,0.44
412,The restaurants on the west end were very expensive,0.44
413,The restaurants on the west end were very expensive,0.44
414,The restaurants on the west end were very expensive,0.44
415,The restaurants on the west end were very expensive,0.44
416,The restaurants on the west end were very expensive,0.44
417,The restaurants on the west end were very expensive,0.44
418,The restaurants on the west end were very expensive,0.44
419,The restaurants on the west end were very expensive,0.44
420,The restaurants on the west end were very expensive,0.44
421,The restaurants on the west end were very posh,0.07
422,The restaurants on the west end were very posh,0.07
423,The restaurants on the west end were very posh,0.07
424,The restaurants on the west end were very posh,0.07
425,The restaurants on the west end were very crowded,0.06
426,The restaurants on the west end were very crowded,0.06
427,The restaurants on the west end were very crowded,0.06
428,The restaurants on the west end were very crowded,0.06
429,The restaurants on the west end were very fancy,0.06
430,The restaurants on the west end were very fancy,0.06
431,The restaurants on the west end were very fancy,0.06
432,The restaurants on the west end were very fancy,0.06
433,The restaurants on the west end were very busy,0.04
434,The restaurants on the west end were very busy,0.04
435,The restaurants on the west end were very good,0.04
436,The restaurants on the west end were very good,0.04
437,The restaurants on the west end were very pricey,0.03
438,The restaurants on the west end were very pricey,0.03
439,The restaurants on the west end were very nice,0.02
440,The restaurants on the west end were very noisy,0.02
441,The restaurants on the west end were very swanky,0.02
442,The restaurants on the west end were very dirty,0.02
443,The restaurants on the west end were very clean,0.02
444,"Tim was very tired, so he was difficult to understand",0.14
445,"Tim was very tired, so he was difficult to understand",0.14
446,"Tim was very tired, so he was difficult to understand",0.14
447,"Tim was very tired, so he was difficult to understand",0.14
448,"Tim was very tired, so he was difficult to understand",0.14
449,"Tim was very tired, so he was difficult to understand",0.14
450,"Tim was very tired, so he was difficult to understand",0.14
451,"Tim was very tired, so he was difficult to understand",0.14
452,"Tim was very tired, so he was difficult to understand",0.14
453,"Tim was very tired, so he was difficult to wake",0.1
454,"Tim was very tired, so he was difficult to wake",0.1
455,"Tim was very tired, so he was difficult to wake",0.1
456,"Tim was very tired, so he was difficult to wake",0.1
457,"Tim was very tired, so he was difficult to wake",0.1
458,"Tim was very tired, so he was difficult to wake",0.1
459,"Tim was very tired, so he was difficult to control",0.05
460,"Tim was very tired, so he was difficult to control",0.05
461,"Tim was very tired, so he was difficult to control",0.05
462,"Tim was very tired, so he was difficult to hear",0.05
463,"Tim was very tired, so he was difficult to hear",0.05
464,"Tim was very tired, so he was difficult to hear",0.05
465,"Tim was very tired, so he was difficult to tolerate",0.04
466,"Tim was very tired, so he was difficult to tolerate",0.04
467,"Tim was very tired, so he was difficult to handle",0.04
468,"Tim was very tired, so he was difficult to handle",0.04
469,"Tim was very tired, so he was difficult to entertain",0.03
470,"Tim was very tired, so he was difficult to entertain",0.03
471,"Tim was very tired, so he was difficult to manage",0.03
472,"Tim was very tired, so he was difficult to manage",0.03
473,"Tim was very tired, so he was difficult to please",0.03
474,"Tim was very tired, so he was difficult to please",0.03
475,"Tim was very tired, so he was difficult to soothe",0.03
476,"Tim was very tired, so he was difficult to soothe",0.03
477,"Tim was very tired, so he was difficult to rouse",0.03
478,"Tim was very tired, so he was difficult to rouse",0.03
479,"Tim was very tired, so he was difficult to arouse",0.03
480,"Tim was very tired, so he was difficult to arouse",0.03
481,"Tim was very tired, so he was difficult to see",0.03
482,"Tim was very tired, so he was difficult to see",0.03
483,"Tim was very tired, so he was difficult to engage",0.02
484,"Tim was very tired, so he was difficult to work",0.02
485,"Tim was very tired, so he was difficult to convince",0.02
486,"Tim was very tired, so he was difficult to placate",0.02
487,"Tim was very tired, so he was difficult to confront",0.02
488,"Tim was very tired, so he was difficult to motivate",0.02
489,"Tim was very tired, so he was difficult to move",0.02
490,"Tim was very tired, so he was difficult to drive",0.02
491,"Tim was very tired, so he was difficult to deal with",0.02
492,Jean was satisfied as her sculpture began to take shape,0.68
493,Jean was satisfied as her sculpture began to take shape,0.68
494,Jean was satisfied as her sculpture began to take shape,0.68
495,Jean was satisfied as her sculpture began to take shape,0.68
496,Jean was satisfied as her sculpture began to take shape,0.68
497,Jean was satisfied as her sculpture began to take shape,0.68
498,Jean was satisfied as her sculpture began to take shape,0.68
499,Jean was satisfied as her sculpture began to take shape,0.68
500,Jean was satisfied as her sculpture began to take shape,0.68
501,Jean was satisfied as her sculpture began to take shape,0.68
502,Jean was satisfied as her sculpture began to take shape,0.68
503,Jean was satisfied as her sculpture began to take shape,0.68
504,Jean was satisfied as her sculpture began to take shape,0.68
505,Jean was satisfied as her sculpture began to take shape,0.68
506,Jean was satisfied as her sculpture began to take shape,0.68
507,Jean was satisfied as her sculpture began to take shape,0.68
508,Jean was satisfied as her sculpture began to take shape,0.68
509,Jean was satisfied as her sculpture began to take shape,0.68
510,Jean was satisfied as her sculpture began to take shape,0.68
511,Jean was satisfied as her sculpture began to take shape,0.68
512,Jean was satisfied as her sculpture began to take shape,0.68
513,Jean was satisfied as her sculpture began to take shape,0.68
514,Jean was satisfied as her sculpture began to take shape,0.68
515,Jean was satisfied as her sculpture began to take shape,0.68
516,Jean was satisfied as her sculpture began to take shape,0.68
517,Jean was satisfied as her sculpture began to take shape,0.68
518,Jean was satisfied as her sculpture began to take shape,0.68
519,Jean was satisfied as her sculpture began to take shape,0.68
520,Jean was satisfied as her sculpture began to take shape,0.68
521,Jean was satisfied as her sculpture began to take shape,0.68
522,Jean was satisfied as her sculpture began to take shape,0.68
523,Jean was satisfied as her sculpture began to take shape,0.68
524,Jean was satisfied as her sculpture began to take shape,0.68
525,Jean was satisfied as her sculpture began to take shape,0.68
526,Jean was satisfied as her sculpture began to take shape,0.68
527,Jean was satisfied as her sculpture began to take shape,0.68
528,Jean was satisfied as her sculpture began to take shape,0.68
529,Jean was satisfied as her sculpture began to take shape,0.68
530,Jean was satisfied as her sculpture began to take shape,0.68
531,Jean was satisfied as her sculpture began to take shape,0.68
532,Jean was satisfied as her sculpture began to take shape,0.68
533,Jean was satisfied as her sculpture began to take shape,0.68
534,Jean was satisfied as her sculpture began to take shape,0.68
535,Jean was satisfied as her sculpture began to take shape,0.68
536,Jean was satisfied as her sculpture began to take shape,0.68
537,Jean was satisfied as her sculpture began to take shape,0.68
538,Jean was satisfied as her sculpture began to take form,0.19
539,Jean was satisfied as her sculpture began to take form,0.19
540,Jean was satisfied as her sculpture began to take form,0.19
541,Jean was satisfied as her sculpture began to take form,0.19
542,Jean was satisfied as her sculpture began to take form,0.19
543,Jean was satisfied as her sculpture began to take form,0.19
544,Jean was satisfied as her sculpture began to take form,0.19
545,Jean was satisfied as her sculpture began to take form,0.19
546,Jean was satisfied as her sculpture began to take form,0.19
547,Jean was satisfied as her sculpture began to take form,0.19
548,Jean was satisfied as her sculpture began to take form,0.19
549,Jean was satisfied as her sculpture began to take form,0.19
550,Jean was satisfied as her sculpture began to take effect,0.02
551,"Pressed for time, Beth made a quick grocery run",0.33
552,"Pressed for time, Beth made a quick grocery run",0.33
553,"Pressed for time, Beth made a quick grocery run",0.33
554,"Pressed for time, Beth made a quick grocery run",0.33
555,"Pressed for time, Beth made a quick grocery run",0.33
556,"Pressed for time, Beth made a quick grocery run",0.33
557,"Pressed for time, Beth made a quick grocery run",0.33
558,"Pressed for time, Beth made a quick grocery run",0.33
559,"Pressed for time, Beth made a quick grocery run",0.33
560,"Pressed for time, Beth made a quick grocery run",0.33
561,"Pressed for time, Beth made a quick grocery run",0.33
562,"Pressed for time, Beth made a quick grocery run",0.33
563,"Pressed for time, Beth made a quick grocery run",0.33
564,"Pressed for time, Beth made a quick grocery run",0.33
565,"Pressed for time, Beth made a quick grocery run",0.33
566,"Pressed for time, Beth made a quick grocery run",0.33
567,"Pressed for time, Beth made a quick grocery run",0.33
568,"Pressed for time, Beth made a quick grocery run",0.33
569,"Pressed for time, Beth made a quick grocery run",0.33
570,"Pressed for time, Beth made a quick grocery run",0.33
571,"Pressed for time, Beth made a quick grocery run",0.33
572,"Pressed for time, Beth made a quick grocery run",0.33
573,"Pressed for time, Beth made a quick grocery trip",0.27
574,"Pressed for time, Beth made a quick grocery trip",0.27
575,"Pressed for time, Beth made a quick grocery trip",0.27
576,"Pressed for time, Beth made a quick grocery trip",0.27
577,"Pressed for time, Beth made a quick grocery trip",0.27
578,"Pressed for time, Beth made a quick grocery trip",0.27
579,"Pressed for time, Beth made a quick grocery trip",0.27
580,"Pressed for time, Beth made a quick grocery trip",0.27
581,"Pressed for time, Beth made a quick grocery trip",0.27
